N       Время генерации LCG  Время генерации методом серединных произведений  Время генерации стандартным способом
50                 0.000019                                         0.000015                              0.000043
100                0.000026                                         0.000023                              0.000074
250                0.000068                                         0.000053                              0.000175
500                0.000140                                         0.000100                              0.000348
1000               0.000292                                         0.000220                              0.000698
2500               0.000738                                         0.000479                              0.001660
5000               0.001526                                         0.000950                              0.003441
10000              0.002999                                         0.001992                              0.006697
25000              0.007553                                         0.005109                              0.017238
50000              0.015063                                         0.010064                              0.034133
100000             0.030899                                         0.020930                              0.068134
